intID_Ordem,strCod,strProduto,Unidade,Quantidade,Imposto Federal ≅%28,Total,Desconto
1,61443,Desinfetante Urca Pinho,1x5L,"1 UND9 x 12,00 ","3,77",12,
2,7870,Detergente Liquido Ype,1x5L,"1 UND9 x 19,75 ",0,"19,75",
3,42009,Papel Higienico Personal VIP K,1x20R50M,"1 UND9 x 48,50 ","15,25","48,5",
4,44461,Agua Sanitaria Suprema,1x5L,"1 UND9 x 9,29 ","2,92","9,29",
5,82517,Amaciante Mon Bijou,"1X1,7L","1 UND9 x 7,65 ","2,41","7,65",
6,82517,Limp. Casa Perfume,1x2L,"1 UND9 x 13,80 ",0,"13,8",
7,16776,Querosene Bufalo,1x500ML,"1 UND9 x 10,90 ","4,19","10,9",
8,42170,Alcool Coperalcool,1X1L,"1 UND9 x 8,99 ","2,83","8,99",
9,71615,Lava Roupa Liquido Urca,1x4500ML,"1 UND9 x 19,89 ",0,"19,89",
10,82620,Amaciante Mon Bijou,"1X1,7L","1 UND9 x 7,65 ","2,41","7,65",
11,26633,Oleo Peroba,1X200ML,"1 UND9 x 13,50 ","5,19","13,5",
12,64389,Sapolio Radium,1x250ML,"1 UND9 x 9,09 ","3,04","9,09",
13,86553,Panetone Festtone,1x400G,"1 UND9 x 7,99 ","2,14","7,99",
14,76713,Creme de Chantily Amelia,1x200ML,"2 UND9 x 5,09 ","3,2","10,18",
15,54221,Esponja S. Brite Ex,10x1UND,"1 PCT4 x29,00 ","9,12",29,
16,75527,Iorgute Batavo Morango,1x1150G,"2 UND9 x 9,98 ",0,"19,96",
17,79944,DET. PO SURF,"1x2,4G","1 UND9 x 23,29 ",0,"23,29",
18,75978,Requeijão Cremoso Tradicional,1x400G,"1 UND9 x 14,90 ","3,4","14,9",
19,82762,Requeijão Itambé Tradicional,1x400G,"1 UND9 x 14,90 ","3,4","14,9",
20,67278,Manteiga Tour C/S Lata,1x200G,"1 UND9 x 14,30 ","3,27","14,3",
21,50181,Manteiga Aviacao,1x200G,"1 PTE9 x 10,90 ","2,49","10,9",
22,35926,Margarina Delicia C/Sal,1x500G,"1 UND8 x 6,09 ","1,92","6,09",
23,51010,Bat. Pre Frita Mais B,1x2Kg,"1 UND9 x 24,90 ","7,83","24,9",
24,18842,Leite Condensado  Moça Integral LT,1x395G,"1 UND9 x 7,84 ","1,38","7,84",
25,59363,Saco de Lixo Embalixo,1x100UND,"1 UND9 x 10,90 ","4,04","10,9",
26,18842,Leite Condensado  Moça Integral LT,1x395G,"1 UND9 x 7,84 ","1,38","7,84",
27,18842,Leite Condensado  Moça Integral LT,1x395G,"1 UND9 x 7,84 ","1,38","7,84",
28,77021,Lã Aço  Assolan,1x45G,"1 UND9 X 1,69 ","0,61","1,69",
29,89248,Sabao Ype Neutro,1x810G,"1 UND9 x 9,81 ","3,09","9,81",
30,38969,Saco de Lixo Biobags 15L,1x60UND,"1 UND9 x 7,50 ","2,78","7,5",
31,24122,Laranja Pera,1x5Kg,"1 SCO1 x 21,00 ",5,"21,9",6
32,67308,Limpa Perfume Conc Coala,1x120ML,"1 UND9 x 10,50 ","3,64","10,5",
33,37838,Sabonete Phebo,1x90G,"2 UND9 x 4,39 ","2,76","8,78",
34,75970,Sabonete Nivia Hidrante,1x90G,"1 UND9 x 4,60 ","1,45","4,6",
35,87001,Sabonete Francis,1x90G,"1 UND9 x 3,75 ","1,18","3,75",
36,46752,Sabonete Phebo Frescor,1x90G,"2 UND9 x 4,39 ","2,76","8,78",
37,75970,Sabonete Nivia Hidrante,1x90G,"1 UND9 x 4,60 ","1,45","4,6",
38,76124,Café União Extra Forte,10X500G,"1 CXA1 x 139,80 ","43,97","139,8",
39,58045,Leite Piracanjuba Integral,1X1L,"5 UND9 9 x 4,29 ","3,77","21,45",
40,21827,Ovo Bco GD Cinta,1x60UN,"1 CXA9 x 31,90 ","7,29","31,9",
